chr	pos	strand	ProbeID
chr15	82554886	+	cg18813078
chr3	148898124	-	cg14630032
chr9	133780848	+	cg13609861
chr20	62510260	-	cg22332321
chr11	829035	-	cg07535628
chr15	31295094	-	cg05665095
chr8	78478065	-	cg03721622
chr10	8078325	+	cg00956199
chr19	23257319	+	cg17948136
chr1	17265239	-	cg13678243
chr1	1190932	+	cg03583709
chr17	50237604	-	cg07111868
chr8	11665962	+	cg11598005
chr1	53905714	+	cg16038181
chr22	45064471	+	cg04480903
chr16	57520519	+	cg04654841
chr16	88503009	+	cg02808931
chr6	30689568	-	cg19021318
chr8	54791763	-	cg02416510
chr8	143359879	-	cg12268263
chr5	171433860	-	cg02273769
chr8	144623533	+	cg07556218
chr4	2765951	-	cg03666053
chr9	37420996	+	cg01650612
chr3	129262055	-	cg22915705
chr3	128293318	-	cg13446974
chr19	49999314	+	cg13432900
chr11	1492630	+	cg08365112
chr19	4968614	+	cg25761809
chr10	131843798	+	cg27102141
chr18	13136899	-	cg11652668
chr2	91634652	+	cg01759674
chr5	168196172	+	cg24141911
chr3	178970407	-	cg26375196
chr2	242808611	-	cg23217153
chr11	61974948	-	cg08459368
chr21	36421503	-	cg13030790
chr13	112630569	-	cg10722444
chr1	230513522	+	cg10877049
chr7	37705587	+	cg16121641
chr11	64878720	+	cg12879713
chr15	60936130	+	cg07971790
chr2	69871759	-	cg11232947
chr8	63055444	-	cg01752041
chr3	25654052	+	ch.3.541014R
chr15	37175029	-	cg16890051
chr5	171831028	-	cg13022534
chr19	3962194	+	cg24943002
chr14	37051863	+	cg00950398
chr16	19566747	-	cg04116218
chr22	43564007	-	cg09976981
chr14	31086887	-	cg23442187
chr5	176520024	-	cg27002826
chr19	537170	-	cg17701921
chr6	28829340	+	cg21277452
chr15	42120681	-	cg01332711
chr21	40177887	+	cg06584807
chr20	2384435	+	cg13341864
chr5	146170027	+	cg06832272
chr19	17414399	-	cg14935078
chr3	47323555	-	cg08453688
chr3	137490436	-	cg27175819
chr17	444936	+	cg05337998
chr2	242833648	+	cg23069297
chr8	10591768	+	cg02563503
chr11	110297121	+	cg24504014
chr11	116228734	+	cg12407140
chr10	103590369	+	cg05486188
chr10	122702447	-	cg17727033
chr10	118897280	+	cg09935282
chr5	43040438	+	cg19950474
chrX	154283466	+	cg11138004
chr2	68592345	+	cg02861056
chr1	32042092	-	cg24873592
chr2	64751596	-	cg00712122
chr12	120241409	+	cg21879102
chr8	26216910	+	cg09069499
chr20	36530296	-	cg12163925
chr2	233415195	+	cg12405341
chr17	48133676	-	cg10488476
chr1	200017833	-	cg18313543
chr2	241581957	-	cg18658122
chr8	72755871	+	cg06269753
chr15	99486272	+	cg07911768
chrX	152801393	-	cg22810426
chr3	128765899	-	cg13924105
chr15	79254454	-	cg20655644
chr17	78081709	-	cg09092500
chr17	64781874	-	cg15724116
chr1	155888432	+	ch.1.3042365R
chr17	62777690	-	cg15869463
chr5	76325554	+	cg15817406
chr11	7111072	+	cg07400057
chr2	17699904	+	cg15124757
chrX	48317196	+	cg04700811
chr7	67319424	+	cg15287895
chr2	198569719	+	cg24993263
chrX	134306406	+	cg15741706
chr3	87138640	-	cg16856833
chr18	47012892	+	cg01878705
chr1	153330758	+	cg16139316
chr16	676042	-	cg08624878
chr16	24087793	+	cg09327847
chr6	32020587	+	cg05499272
chr8	145557636	+	cg27595860
chrY	9307448	+	cg25705492
chr10	133777125	+	cg12395689
chr2	134326273	+	cg26428069
chr6	52382441	-	cg26020069
chr17	75905364	-	cg21600346
chr12	133182638	-	cg25313698
chr16	77228897	+	cg05938267
chr4	37584954	-	cg06500476
chr10	73445156	-	cg03033796
chr10	75808340	-	cg18145196
chr18	76322900	-	cg05655281
chr11	63884779	-	cg04740931
chr7	50366850	+	cg09241714
chr11	2444188	+	cg01581060
chr16	15692851	-	cg26630902
chr22	42897250	+	cg01916685
chr20	62715856	+	cg20754305
chr12	108784905	-	cg12993543
chr7	2884021	+	cg18242990
chr2	204734181	-	cg26091609
chr2	63287082	-	cg25741215
chr20	44420276	-	cg23252815
chr19	9731901	+	cg19235955
chr7	158714603	-	cg01562995
chr4	52883367	-	cg23789604
chr13	32983610	-	cg19511382
chr6	32040379	-	cg03762591
chr1	14286966	-	cg24594979
chr12	54121359	-	cg00109465
chr22	23003332	-	cg02964102
chr15	77222517	+	cg18391514
chr1	3590920	-	cg27055894
chr7	139026058	-	cg00196167
chr16	89283970	+	cg08398855
chr17	49199316	-	cg02048645
chrX	135849827	+	cg24832428
chr4	54568961	+	cg12360424
chr4	76823713	+	cg02362409
chr10	47130971	-	cg12693436
chr4	1994816	+	cg02532293
chr17	78859060	-	cg11623293
chr1	199995777	+	cg04857472
chr5	145214769	+	cg20858173
chr19	39011484	+	cg23519671
chr10	52834850	-	cg07934217
chr4	185876283	-	cg11051295
chrX	135278915	+	cg13503613
chr15	101513798	-	cg16701059
chr7	1533502	+	cg01705214
chr3	69985375	+	cg11038507
chr14	60978275	-	cg11126767
chr3	97463425	+	cg24337235
chr12	121812341	-	cg02305676
chr4	39461155	+	cg13038108
chr6	32632848	-	cg18024368
chr2	38155843	-	cg15657390
chr2	3489799	-	cg12162724
chr3	167238645	+	cg04903759
chr15	77359477	+	cg05914442
chr14	60558421	-	cg12407844
chrX	51071657	-	cg07903246
chr17	78668209	-	cg09141931
chr1	117052153	-	cg00960147
chr17	68161011	-	cg07742017
chr18	11855	+	cg25023094
chr1	78445757	-	cg11658588
chr10	34405759	+	cg15292765
chr17	73649149	-	cg03721291
chr10	50821078	+	cg25155846
chr6	108436115	-	cg17375249
chr2	219762664	+	cg03253114
chr1	168510365	+	cg15819955
chr8	42624772	+	cg07212615
chr17	79412583	+	cg06451177
chr8	1788325	-	cg02121996
chr15	25096573	+	cg19964320
chr5	404678	+	cg08491376
chr17	6703447	-	cg12642237
chr14	45353678	-	cg23630443
chr5	172264981	+	cg24178676
chr2	39103277	+	cg07479988
chr12	47226255	-	cg12091498
chr20	39972305	+	cg17103269
chr13	39885248	-	cg07034103
chr4	95220358	+	cg04886981
chr8	11071946	+	cg23590404
chr1	151119084	-	cg25820693
chr15	84146864	+	cg16100530
chr8	104512423	-	cg03350814
chr17	9821493	+	cg05165825
chr17	40192112	+	cg16426293
chr1	66802205	-	cg03915752
chr12	14124857	-	cg07748847
chr6	220928	+	cg09290655
chr6	43423089	+	cg04815758
chr11	124064793	-	cg12393108
chr1	248020350	+	cg20855565
chr12	104852355	-	cg01940855
chr12	54089486	-	cg25810484
chr13	24323408	-	cg22162694
chr12	81330609	-	cg02585417
chr8	103668147	-	cg00697125
chr1	32181323	-	cg11968071
chr10	24753693	+	cg22671691
chr16	16227608	+	cg16366739
chr12	2750053	+	cg07267600
chr2	159313312	-	cg08843298
chr5	176757514	+	cg26069374
chr11	2013524	-	cg26350007
chr6	133050450	+	cg04354448
chr7	6618160	-	cg03930970
chr2	95454285	+	cg23426231
chr4	10458049	+	cg14548284
chr6	27392665	-	cg18788754
chr1	66099615	-	cg03607891
chr4	175839423	-	cg16870595
chr15	57210244	-	cg23131007
chr22	39239335	-	cg12639990
chr16	12894031	-	cg09774289
chr18	77196450	-	cg27308982
chr19	1035093	-	cg10730425
chr1	156378014	+	cg13056505
chr9	128004122	-	cg13769004
chr10	94834763	-	cg17538572
chr10	104172866	-	cg14581419
chr19	13906163	-	cg24206362
chr2	235989403	-	cg13801475
chr2	149318373	-	cg05170205
chr3	193272655	+	cg09216823
chr6	426166	+	cg12604368
chr7	157987088	+	cg05175762
chr2	190649139	-	cg06900856
chr21	27012878	+	cg04964944
chr1	213190571	-	cg21951459
chr3	52351963	-	cg22084642
chr6	31083322	+	cg26858414
chr16	89939621	-	cg26948288
chr7	157476329	-	cg17799033
chr22	32055447	+	cg21692726
chr16	798278	+	cg02831037
chr1	236767555	+	cg09861631
chr15	91495089	+	ch.15.1582754F
chr11	134123664	-	cg23974812
chr5	177941879	+	cg11577662
chr14	23862194	-	cg15519508
chr7	35079111	-	cg06033194
chr1	156182956	-	cg27165888
chr21	36262100	+	cg02635869
chr15	23895756	+	cg09782833
chr6	30035104	+	cg25012029
chr10	820321	+	cg04390488
chr17	37080373	-	cg25416319
chrX	139588759	+	cg20981089
chr1	142890938	+	cg08251427
chr7	99767134	+	cg06189038
chr1	243265016	+	cg02356786
chr6	170396223	-	cg06882829
chr3	10436688	-	cg07314821
chr16	7615516	+	cg09599971
chr16	15083956	+	cg00964321
chr8	145925419	-	cg15595573
chr7	128695180	+	cg21417675
chr19	36704922	-	cg10667810
chr17	21317998	-	cg09488184
chr8	105479058	+	cg10303487
chr16	70804779	-	cg10216848
chr16	1818819	+	cg10277770
chr19	2328980	+	cg24082320
chr11	40713713	+	cg00350158
chr7	21984339	-	cg11033271
chr17	1850539	+	cg03214325
chr2	117511898	-	cg26512771
chr13	30079658	-	cg19711578
chr17	40811298	+	cg18995023
chr5	134102698	+	cg01784406
chrX	23761412	-	cg09061583
chr16	33483591	-	cg00876757
chr17	37774058	+	cg17228200
chr21	39087399	-	cg16435782
chr11	60048390	+	cg02893799
chr16	56554313	+	cg00876127
chr4	90481402	+	cg09927311
chr4	48272120	-	cg26888836
chr13	111972898	+	cg21308062
chr15	52033455	-	cg24325275
chr6	1621807	+	cg05575213
chr12	79726380	+	cg18176363
chr18	46500646	-	cg05536998
chr19	19738592	-	cg12992720
chrX	102754778	-	cg26684826
chr11	48237353	+	cg10300891
chr13	112335939	-	cg20695203
chr1	1198269	+	cg17848797
chr12	91347805	-	cg13408347
chr5	65439923	+	cg21114390
chr12	132970228	+	cg12591791
chr1	40255555	+	cg26051619
chr3	133524841	-	cg19875216
chr16	3313947	-	cg23754665
chr1	233855887	+	cg21920871
chr14	56374714	-	cg07040604
chr19	57752011	-	cg01578996
chr1	5857530	-	cg03389982
chr11	1950354	-	cg17419660
chr18	74325904	-	cg07867133
chr12	3386867	-	cg22800295
chr14	30084930	+	cg16592301
chr1	31376412	-	cg05374982
chr7	156733574	-	cg12836313
chr10	8562758	+	ch.10.256977R
chr11	122033987	+	cg17658568
chrX	68725086	+	cg01759889
chr12	124979893	+	cg22611259
chr17	32503	-	cg18565023
chr6	8435731	+	cg12530353
chr6	150346721	+	cg07579404
chr16	26657174	-	cg00829845
chr7	69627800	-	cg17201273
chr7	157596859	-	cg09516231
chr13	38443634	+	cg15071251
chr4	73178545	-	cg14349862
chr6	163149169	-	cg21926612
chr12	12829156	-	cg03557066
chr10	47151589	-	cg13011104
chr8	10917024	+	cg16145703
chr21	30397409	+	cg14326747
chr4	174296965	-	cg08635159
chr19	1940184	-	cg25246158
chr7	56549234	-	cg03965665
chr14	32597140	-	cg21808131
chr16	31191119	+	cg00762711
chr13	45390670	-	cg04930601
chr16	72041376	-	cg22381196
chr1	25756900	+	cg00576639
chr6	30038754	+	cg23592467
chr11	121421298	-	cg25418363
chr1	149765026	+	cg20961007
chr7	35299217	-	cg01066602
chr7	153584609	-	cg27032232
chr19	2457194	-	cg14047244
chr4	147557859	-	cg01572513
chrX	123094326	-	cg14680768
chr7	157949174	+	cg22791324
chr14	71209057	+	cg00906060
chr13	114101299	-	cg05392008
chr17	74707409	+	cg07484485
chr5	137513806	-	cg12600695
chr5	118747345	+	cg05191313
chr7	144101019	+	cg25317872
chr7	74938386	-	cg16384552
chr12	64173610	-	cg17034988
chr3	50644192	+	cg08970648
chr18	72166303	-	cg14963724
chr15	89905304	+	cg03745604
chr2	171608303	+	cg27639046
chr10	104159199	+	cg23256466
chr2	241458974	+	cg24539848
chr17	41466953	+	cg22958480
chr14	102452687	-	cg04115584
chr1	26937762	-	cg20690782
chr13	79236684	+	cg16879895
chr19	19322818	-	cg08249988
chr17	74423978	+	cg11661493
chr10	62023637	-	cg18732042
chr12	48152928	-	cg10875868
chr19	34745219	-	cg02628881
chr9	2717531	-	cg26428825
chr15	76552574	-	cg18654183
chr14	101492406	-	cg01587049
chr10	48357334	+	cg17300275
chr8	67873476	+	cg22878622
chr6	30419543	+	cg12078775
chr7	157666168	-	cg19237063
chr12	56472874	-	cg26929894
chr11	61734748	+	cg07416580
chr16	87958493	-	cg06948222
chr12	131194179	-	cg03928154
chr2	73519343	-	cg26647617
chr10	127585083	+	cg08472559
chr1	226684068	-	cg15730248
chr4	1052158	-	cg13180566
chr17	1961109	+	cg00138101
chr4	47839218	+	cg26232715
chr6	28186802	+	cg18247552
chr10	48965159	-	cg03238019
chr17	79849444	-	cg18375296
chr5	131630122	-	cg07810106
chr15	28344524	+	cg23163531
chr1	149981687	-	cg26412688
chr1	245132782	+	cg08529295
chr1	21759308	+	cg25215028
chr1	188826889	-	cg14087856
chr1	6510652	+	cg16672535
chr18	66504226	+	cg15081561
chr1	110091200	-	cg15694127
chr7	155793875	+	cg01438619
chr3	186560386	-	cg21978128
chr7	150011063	+	cg02393907
chr6	43138798	-	cg22880714
chr7	47678059	+	cg06024559
chr16	1128014	+	cg07686916
chr1	219347458	+	cg03221247
chr11	45687263	+	cg12266841
chr18	51888397	-	cg06083659
chr4	190861927	-	cg24193669
chrX	153776009	-	cg13014982
chr5	140566710	+	cg06928634
chr17	38473382	-	cg08005460
chr7	104604511	+	cg25968394
chr10	102749544	+	cg24291461
chr6	47624247	-	cg18184910
chr1	6061279	+	cg20414505
chr12	62585877	+	cg12243597
chr11	1029188	-	cg15203028
chr7	57836342	+	cg12221710
chr3	169377818	-	cg00024967
chr7	101505662	+	cg24025567
chr20	1275425	+	cg13399741
chr6	31466177	-	cg23003117
chr10	133872532	-	cg16415825
chr1	38939716	+	cg18595479
chr6	152126092	+	cg07189962
chr18	77219495	+	cg24163668
chr1	21640802	-	cg19827182
chrX	149736729	+	cg06148972
chr1	2430136	+	cg16031338
chr15	48010124	-	cg20869673
chr7	13788841	-	cg19617161
chr15	82338527	+	cg01578341
chr15	56757180	-	cg19613905
chr3	56505929	-	cg02955114
chr3	48658831	-	cg11540771
chr12	2955294	-	cg16601359
chr11	126626136	+	cg24301250
chr20	39319326	-	cg13188011
chr12	129329099	-	cg13802151
chr8	67974296	+	cg03535933
chr4	48987024	-	cg11935592
chr19	5977699	+	cg08093278
chr9	137534945	-	cg13496596
chr20	40706193	+	cg09309085
chrX	49355178	+	cg17204288
chr7	44906917	-	cg19663284
chr7	147256263	+	cg07299645
chr6	142472456	+	cg13289431
chr10	70660920	-	cg22816171
chr2	109196959	-	cg15850018
chr12	124831201	+	cg24462849
chr13	31191824	+	cg03749393
chr11	71737549	-	cg11196788
chr5	102201137	+	cg23021168
chr12	42875816	+	cg15852150
chr6	31466174	-	cg04394691
chr1	61549327	-	cg19682514
chr2	74699836	-	cg03968970
chr16	86601024	-	cg04081201
chr17	7479901	-	cg01477797
chr19	1576714	+	cg14305641
chr17	79196755	+	cg16979622
chr13	107029387	+	cg02205193
chr1	24829151	+	cg00591489
chr2	21880071	-	cg24703400
chr8	144621330	-	cg05992875
chr20	50723227	+	cg23102632
chr3	194981155	+	cg25746810
chr4	96300958	-	cg17504765
chr15	59621569	+	cg18090991
chr3	195943149	-	cg27558485
chr20	61447442	+	cg13203507
chr19	54259979	+	cg09852439
chr7	148725785	+	cg25837738
chr14	24616549	+	cg10297165
chr10	135050779	-	cg18002909
chr12	9452226	-	cg14282170
chr11	35641255	-	cg08361684
chr17	41723612	-	cg24847636
chr2	187556710	+	cg09579209
chr17	3561358	+	cg06470149
chr16	30709566	-	cg00005306
chr2	99953674	-	cg25469698
chr5	54180254	+	cg15722526
chr19	45174681	+	cg23147597
chr6	136571050	+	cg03170881
chr15	29793451	-	cg23481184
chr19	29704222	+	cg21255626
chr6	107926037	-	cg00944666
chr14	75894323	-	cg02921269
chr6	50682340	+	cg11038322
chr1	110745892	+	cg20610274
chr7	157937468	+	cg17360832
chr7	44345367	-	cg02016094
chr13	36738072	+	cg12652442
chrX	136113725	-	cg14007036
chr8	86350568	+	cg05355225
chr14	68779833	+	cg22930549
chr2	237143297	-	cg01965330
chr8	27630019	+	cg08773844
chr7	2600161	+	cg27189465
chr2	242841239	+	cg19084127
chr4	7228343	+	cg21353189
chr3	158390769	-	cg08263647
chr7	44924308	-	cg04965426
chr5	150227654	+	cg15817464
chr17	73780792	-	cg02741808
chr8	144660157	-	cg16316162
chr2	66050436	+	cg23207542
chr2	121347210	-	cg15344192
chr4	12252318	-	cg26275355
chr11	98891820	+	cg16035520
chr14	31889912	+	cg00742472
chr15	55880089	-	cg26423876
chr6	87993447	-	cg00099602
chr6	74064149	+	cg09071762
chr14	85938115	+	cg06864351
chr6	42981948	+	cg13871588
chr6	160252347	+	cg19566252
chr5	92916935	-	cg06988003
chr10	18875548	-	cg18113637
chr5	107972199	+	cg15725238
chr5	139937169	-	cg02462761
chr16	21813670	-	cg26932790
chr7	27232150	+	cg02533423
chr5	16180062	-	cg17030173
chr13	103046736	+	cg06313119
chr3	127788509	-	cg13264018
chr10	101279697	+	cg22891862
chr1	233432602	+	cg05560333
chr2	207147089	-	cg12820627
chr17	41323297	-	cg20865239
chr12	113590924	+	cg16120422
chr19	7739455	-	cg10736454
chr3	110376551	-	cg16451455
chr11	27105814	-	cg24585203
chr7	5821313	+	cg00049947
chr2	128185947	-	cg03744893
chr5	79950501	+	cg03321043
chr2	202345075	-	cg20731316
chr11	88241946	-	cg02928699
chr3	158286552	+	cg15773072
chr11	1989507	-	cg07518532
chr9	137407922	-	cg13719295
chr12	130961424	-	cg12115748
chr9	99949786	+	ch.9.98989607R
chr17	35444118	+	cg24052772
chrX	106871826	+	cg02301364
chr8	104310810	-	cg04723493
chr11	1326583	+	cg17557340
chr7	1889299	-	cg25744355
chr1	205180539	-	cg06376129
chr2	121269348	-	cg25334934
chr8	6360436	+	cg12074090
chr2	237416899	-	cg03247128
chr20	29551422	+	cg26703617
chr2	215082175	-	cg11990610
chr11	109442377	+	cg05987172
chr5	141117222	-	cg19977633
chr12	95610921	+	cg02688710
chr16	57026029	-	cg05723552
chr3	44802853	-	cg26151597
chr7	99766203	+	cg20469733
chr16	56716367	+	cg09147880
chr11	8816428	-	cg01902758
chr17	63119899	-	cg27473406
chr11	105922059	-	cg26800786
chr1	3494234	-	cg20000908
chr13	113803336	+	cg26489080
chr1	159558512	+	cg21291134
chr1	165324990	+	cg24650501
chr7	113722758	+	cg03012726
chr7	3341524	-	cg09461837
chr8	80522577	-	cg00397910
chr1	2475961	+	cg08535779
chr17	77778467	-	cg13852879
chr1	22192945	-	cg18274749
chr14	106174360	-	cg16280499
chr1	1248233	+	cg11847126
chr1	12188502	+	cg07499259
chr11	14913849	+	cg05454237
chr16	89593394	+	cg10448954
chr11	59191352	+	cg10914667
chr10	125042097	-	cg02816727
chr8	89340331	-	cg14644752
chr1	87793396	-	cg07902673
chr5	180167566	-	cg02735829
chr17	41495032	-	cg27172175
chr3	183852781	-	cg00383977
chr10	133484920	+	cg05221664
chr5	35231272	-	cg17397493
chr7	55323105	+	cg00629983
chr16	17842081	+	cg09371059
chr1	2939117	+	cg05162202
chr21	10990890	-	cg08538752
chr4	7044873	-	cg11117765
chr8	145051795	-	cg14199723
chr6	30658493	-	cg17636541
chr7	27166853	-	cg00524179
chr2	27665017	-	cg18428193
chr7	102036598	-	cg00912939
chr1	205473393	-	cg07713493
chr1	150315420	+	ch.1.2890724F
chr22	43739790	+	cg04965050
chr15	30197109	+	cg16177701
chr14	23303413	+	cg01016847
chr2	75836391	-	cg19196264
chr6	52021665	-	cg14391730
chr3	49894142	+	cg27233566
chr10	13022624	-	cg27001894
chr1	113615747	+	cg24448849
chr15	25620037	+	cg08560947
chr11	9336131	+	cg25994464
chr15	27135732	+	cg04194502
chr16	67218910	+	cg16548780
chr5	137803102	+	cg09102257
chr4	7187171	-	cg09496303
chr3	9258573	-	cg00897276
chr10	89623122	+	cg13885325
chr1	18019701	-	cg13299927
chr6	32032728	+	cg11032077
chr8	1885997	-	cg20038366
chrX	46768701	-	cg09551204
chr1	201921417	+	cg25747484
chr12	131917579	+	cg04878869
chr1	171268464	-	cg12045158
chrX	99667001	+	cg14343151
chr14	45603804	-	cg13781510
chr11	35547074	+	cg14542839
chr19	18780040	+	cg19685698
chr1	16679149	+	cg13491192
chr11	130416290	+	cg25956062
chr11	60720229	-	cg18151345
chr6	27798556	-	cg22955778
chr1	2445356	-	cg02083536
chr5	145718401	-	cg01593834
chr16	86767566	-	cg06660976
chr3	184285903	+	cg12612213
chr8	57358590	+	cg21694941
chr17	80377265	+	cg24998110
chr14	95966488	+	cg24754598
chr14	69045498	-	cg20931134
chr8	57360613	-	cg16419235
chr10	2373548	+	cg06865993
chr22	37174758	+	cg21706535
chr22	38092974	-	cg06594770
chr12	83081389	+	cg17415555
chr17	37123638	+	cg22361859
chr19	30019647	+	cg18716164
chr2	44223591	+	cg07211050
chr11	2858621	+	cg08376310
chr6	21916568	+	cg24100293
chr3	46410222	+	cg18052511
chr8	27629879	-	cg14666006
chr10	38692317	-	cg24650114
chr12	124158499	-	cg04684390
chr13	41635251	+	cg10909163
chr16	11367509	+	cg01046376
chr16	2546596	+	cg05394010
chr3	136062740	-	cg25498969
chr2	232479837	-	cg17573447
chr8	17195444	-	cg09984096
chr8	49712353	+	cg03659851
chr1	156877970	-	cg23731781
chr17	80041172	+	cg27485530
chr16	13461010	+	ch.16.486323F
chr19	1722727	+	cg03239957
chr17	18585734	+	cg04757284
chr2	175199694	-	cg17964510
chr7	156802209	-	cg23472708
chr1	15324075	-	cg08237695
chr19	44645532	-	cg09932439
chr15	56282277	-	cg08065048
chr4	187851586	+	cg14016326
chr17	2414945	+	cg26502414
chr15	96596349	+	cg16718263
chr18	3499093	-	cg15673034
chr2	242776518	-	cg24768137
chr12	131200631	+	cg14256008
chr8	4601508	-	cg19849211
chr11	46867918	-	cg16823737
chr6	88032202	-	cg05155578
chr3	160822661	+	cg23252387
chrX	10144998	-	cg12516234
chr2	84104845	-	cg16301989
chr7	143060536	-	cg00292971
chr17	8396080	-	cg05523449
chr19	50086378	-	cg21961766
chr2	20817916	+	cg02458141
chr7	107205253	-	cg15381326
chr6	44214738	-	cg13495532
chr1	228644963	+	cg17515024
chr11	115375226	-	cg10193817
chr10	1226699	-	cg10241608
chr3	147089362	-	cg12361223
chr2	3750952	+	cg11857704
chrX	108778854	+	cg13257485
chr12	11821908	-	cg14830166
chr5	68326758	-	cg26841170
chr20	10654705	+	cg24652271
chr7	77227740	+	ch.7.1699359R
chr12	56728279	+	cg08110163
chr2	191184810	+	cg22234344
chr15	56657812	+	cg13619852
chr2	239699222	+	cg11843673
chr19	33463214	-	cg19422191
chr5	45204945	+	cg05851730
chr4	58058692	-	cg13763289
chr16	980146	-	cg27084952
chr5	56247905	+	cg04090147
chr20	18122843	+	cg24956141
chr14	101526006	+	cg06753050
chr12	29302279	+	cg00263592
chr19	4301870	+	cg14117297
chr14	88793741	-	cg10867349
chr11	44541718	+	cg02358323
chr19	55478262	-	cg20995778
chr7	24956523	-	cg25279613
chr7	158381884	-	cg07920930
chr17	38574415	-	cg26007540
chr14	74251926	-	cg16702313
chr1	943064	-	cg26155170
chr14	104171313	+	cg02194129
chr16	85784951	+	cg04468198
chr12	67662739	+	cg06162746
chr5	141392736	+	cg05515516
chr6	149358802	+	cg07567800
chr15	82180611	-	cg19193826
chr19	50376497	+	cg13607205
chr21	46860579	-	cg02628840
chr3	49507266	+	cg23481986
chr6	55267138	-	cg15756928
chr11	6478177	+	cg17580363
chr5	133860686	-	cg04842522
chr16	72982048	+	cg07395439
chr17	4696249	-	cg11741432
chr17	40912968	-	cg19188881
chr2	118845868	-	cg24171875
chr7	63233305	+	cg18378016
chr14	94808883	-	cg02091781
chr12	133142070	-	cg04065880
chr3	18258805	-	cg05710676
chr11	71293892	-	cg03158218
chr11	118925417	+	cg08471073
chr17	38136919	-	cg10479053
chr11	19077763	+	cg02109086
chr10	105372137	+	cg19189864
chr6	33033176	-	cg12858166
chr22	18531591	-	cg25163076
chr11	101915387	-	cg02829076
chr19	53092499	-	cg22603268
chrX	33146500	+	cg02629615
chr7	73664568	-	cg15076481
chr8	101962957	+	cg26115851
chr21	32622078	-	cg09702434
chr4	23892083	-	cg04893087
chr6	31865118	+	cg22858549
chr5	81047188	+	cg20757912
chr12	12503194	-	cg08016016
chr6	29633969	-	cg03147503
chr3	46604536	-	cg08081259
chr7	153582285	+	cg02473594
chr6	107960476	+	cg03380512
chr6	70991229	+	cg05221720
chr22	43807949	-	cg01148441
chr5	59995837	+	cg01466967
chr3	184661427	+	cg11644349
chr19	2222224	+	cg06678890
chr1	155271149	-	cg13497187
chr8	120651190	-	cg04452959
chr11	77296743	-	cg24202922
chr4	164395039	+	cg23210938
chr22	24108000	+	cg14090647
chr6	170542330	+	cg18973743
chr13	107354325	-	cg13930220
chr1	203012959	+	ch.1.201279582R
chr22	50971601	-	cg16644494
chr11	14991572	-	cg21141026
chr19	45572412	+	cg14267671
chr5	175788725	+	cg21605986
chr14	92721505	-	cg14317639
chr15	83361057	+	cg09784977
chr3	10857456	+	cg09395732
chr8	65489040	-	cg23554956
chr7	26676346	+	cg24024511
chr17	79059776	+	cg27222205
chr19	35766956	-	cg04327593
chr13	25671327	-	cg13777312
chr5	72562402	+	cg22933582
chr17	14989749	-	cg24156181
chr6	2841626	-	cg25003777
chr12	46273255	-	cg10617091
chr22	44351644	+	cg07614502
chr20	39311637	+	cg20208133
chr22	34192387	+	cg20021572
chr4	157770752	+	cg18933943
chr4	2305734	-	cg17155524
chr1	46705909	-	cg22973226
chr17	80872065	-	cg25506059
chr3	16216215	+	cg10453019
chr5	130915922	-	cg04083921
chr18	56338510	-	cg03361575
chr2	26139506	+	cg05256172
chr11	75265195	-	cg03161498
chr10	77359124	-	cg24461742
chr3	196699859	-	cg09653571
chr17	61498814	-	cg23957372
chr16	89405478	-	cg07054502
chr6	16762468	+	cg04542938
chr10	102510356	+	cg17589590
chr14	71272941	-	cg21836031
chr9	93205862	-	cg13943141
chr1	16692150	+	cg01467503
chr15	77363627	+	cg17138684
chr19	344165	+	cg22826071
chr4	7668844	+	cg03326335
chr15	22922243	-	cg27044933
chr2	15875650	+	cg15835463
chr4	177716461	-	cg18161211
chr9	36486732	+	cg21233189
chr17	38119207	+	cg26162295
chr5	87976545	+	cg02627887
chr7	144104563	+	cg18251389
chr7	155625769	-	cg18766685
chr14	100212958	+	cg16398956
chr17	60813227	+	cg13195520
chr21	44721077	+	cg23060618
chr17	37764802	+	cg08348709
chr16	56644991	-	cg10443421
chr6	26659419	+	cg16489511
chr11	8284113	-	cg00123666
chr11	94706830	-	cg05713782
chr13	114312763	-	cg20336809
chr2	242490217	-	cg06430688
chr5	122425425	-	cg07622748
chr2	71222108	+	cg14402217
chr5	63954708	+	cg01791865
chr20	31407559	-	cg10107786
chr16	86191361	+	cg16477259
chr10	134894004	-	cg00612515
chr8	53392286	-	cg27617058
chr5	60240568	+	cg00581130
chr5	179634671	+	cg12408990
chr7	99632812	+	cg22004693
chrY	17567897	+	cg03672679
chr6	133035266	+	cg25654653
chr21	45755740	+	cg18342814
chr6	3921158	+	ch.6.3866157F
chr12	25539423	+	cg25602732
chr1	25558575	+	cg12131219
chr1	85359119	+	cg07553626
chr12	7342151	+	cg24126878
chr6	31696482	+	cg00941576
chr10	77160935	-	cg08158570
chr7	13662497	+	cg27059537
chr4	2757706	+	cg12939527
chr1	2349553	-	cg07012962
chr17	65040739	+	cg05819268
chr19	36389795	-	cg03710719
chr22	18919803	+	cg11438552
chr2	155719622	+	cg14660733
chr2	213403321	-	cg19079194
chr6	36568488	-	cg11409081
chr4	2765896	+	cg04919784
chr1	226249811	+	cg19410789
chr1	46918254	+	cg15560801
chr6	33331358	-	cg22698108
chr8	22102711	-	cg06112727
chr20	3052345	+	cg26955850
chr2	73612302	-	cg08552812
